Bid,Bid_Quantity,Ask,Ask_Quantity
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:06.280177900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:14.989069900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:15.350069900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:17.197045900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:23.428973900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:25.187949900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:28.474913900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:37.580805900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:38.029793900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:49.882649900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:53.807604900
685500.0,16.0,691500.0,30.0
685000.0,71.0,692000.0,40.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:57.092565900
685500.0,16.0,691500.0,30.0
685000.0,71.0,692000.0,40.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:59.657541900
685500.0,16.0,691500.0,30.0
685000.0,71.0,692000.0,40.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:49:00.069529900
685500.0,16.0,692000.0,40.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,16.0
TimeStamp,2014-02-14D08:49:04.485481900
685500.0,16.0,692000.0,40.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,16.0
TimeStamp,2014-02-14D08:49:05.558469900
685500.0,16.0,692000.0,40.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,16.0
TimeStamp,2014-02-14D08:49:09.501421900
685500.0,16.0,692000.0,5.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,51.0
TimeStamp,2014-02-14D08:49:09.745421900
685500.0,16.0,692000.0,5.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,51.0
TimeStamp,2014-02-14D08:49:12.676385900
685500.0,16.0,692000.0,5.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,51.0
TimeStamp,2014-02-14D08:49:13.329373900
685500.0,16.0,692000.0,5.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,51.0
TimeStamp,2014-02-14D08:49:19.129301900
685500.0,16.0,692000.0,5.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,51.0
TimeStamp,2014-02-14D08:49:19.384301900
685500.0,16.0,692000.0,5.0
685000.0,71.0,692500.0,46.0
684500.0,66.0,693000.0,51.0
TimeStamp,2014-02-14D08:49:19.537301900
685500.0,16.0,692000.0,5.0
