Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-03-21D08:51:20.903126700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:20.946126700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:20.987126700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:21.303126700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:21.345126700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:21.387126700
630000.0,2.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:30.698027600
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:33.251006700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:34.967986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.010986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.053986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.262986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.304986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.346986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.565986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.608986700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.650983300
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.846976700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.889976700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:35.931976700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631500.0,100.0
TimeStamp,2014-03-21D08:51:38.658953200
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631000.0,3.0
TimeStamp,2014-03-21D08:51:41.861916700
630000.0,1.0,630000.0,14.0
628000.0,11.0,630500.0,16.0
627500.0,11.0,631000.0,3.0
TimeStamp,2014-03-21D08:51:43.529906700
